#,出现阶段,标题,内容,人气影响1,心理影响1,健康影响1,财富影响1,人气影响2,心理影响2,健康影响2,财富影响2,对应图片,结果文案1,结果文案2,备注1,备注2
#,Stage,Title,Content,P_Effect1,M_Effect1,H_Effect1,R_Effect1,P_Effect2,M_Effect2,H_Effect2,R_Effect2,Picture,Result1,Result2,Addtion1,Addition2
0,Junior,意外,走一半发现：手机似乎掉了！要不要捡？,5,5,0,0,2,-2,0,-2,None,万一我还用得上呢~,可……可恶啊……,,Phone
1,Junior,可爱妖精,前面的妖精好可爱，好想rua,5,5,0,0,0,-1,0,0,None,"妖精没有反抗，
困惑地看了你一眼",不行，会出事的……,,
2,Junior,弱小妖怪,要么交出你的包，要么去死！,0,-5,0,-2,5,5,-10,0,None,None,None,,Phone
3,Junior,隙间,这里怎么有隙间，进去看看？,0,0,0,0,-2,2,0,0,None,None,搞毛呢，我才不去。,End9961,
4,Junior,天黑了,要继续赶路吗……？,10,-5,-5,-5,-5,5,5,-10,None,我超勇的！,稳妥一点吧。,Chase,Sleep
5,Junior,宝物,地上散落着古钱币，这可是古董！你思考着要不要捞一点,0,5,-10,0,0,-10,0,0,None,钱币散发着妖气，捡起似乎不是好主意,明明不属于自己，为何让人念念不忘,Coin,
6,Junior,捕兽夹,一只兽妖正在挣脱捕兽夹，要帮忙吗？,-10,0,0,0,0,5,0,0,None,兽妖很感激，亲自教会你怎么藏匿自己,羊入虎口可不是开玩笑,Aid,
7,Junior,老板娘,这鬼地方罕见地开着一家小吃店,0,0,0,0,0,0,0,0,None,None,None,,
8,Junior,河流,清澈的溪流唤起你的干渴,0,3,5,0,0,8,0,0,None,None,None,,
9,Junior,鸦天狗,哟，是穿越者？买份报纸了解一下幻想乡呗~,0,0,0,-10,10,0,0,0,None,None,None,Paper,
